"user_sn","sn","section_id","start_timestamp","finish_timestamp","total_millisecond","last_modified","game_sn","progress_seq","is_correct","target_vocabulary","wrong_times","correct_times"
"312031","11791","9","2024-05-16 11:44","2024-05-16 11:45","52817","1715831100379","engWord_1192641_9_1715831100379","1","0","puppy","1","0"
"312031","11792","9","2024-05-16 11:44","2024-05-16 11:45","52817","1715831100379","engWord_1192641_9_1715831100379","2","1","pink","0","1"
"312031","11793","9","2024-05-16 11:44","2024-05-16 11:45","52817","1715831100379","engWord_1192641_9_1715831100379","3","0","rat","1","0"
"312031","11794","9","2024-05-16 11:44","2024-05-16 11:45","52817","1715831100379","engWord_1192641_9_1715831100379","4","0","gray","1","0"
"312031","11795","9","2024-05-16 11:44","2024-05-16 11:45","52817","1715831100379","engWord_1192641_9_1715831100379","5","1","frog","0","1"
"312031","11796","9","2024-05-16 11:44","2024-05-16 11:45","52817","1715831100379","engWord_1192641_9_1715831100379","6","0","hen","1","0"
"312031","11797","9","2024-05-16 11:44","2024-05-16 11:45","52817","1715831100379","engWord_1192641_9_1715831100379","7","0","brown","1","0"
"312031","11798","9","2024-05-16 11:44","2024-05-16 11:45","52817","1715831100379","engWord_1192641_9_1715831100379","8","0","yellow","1","0"
"312031","11799","9","2024-05-16 11:44","2024-05-16 11:45","52817","1715831100379","engWord_1192641_9_1715831100379","9","0","mouse","1","0"
"312031","11800","9","2024-05-16 11:44","2024-05-16 11:45","52817","1715831100379","engWord_1192641_9_1715831100379","10","0","snake","1","0"
"312031","11801","9","2024-05-16 11:42","2024-05-16 11:44","82530","1715831042313","engWord_1192641_9_1715831042313","1","1","horse","0","1"
"312031","11802","9","2024-05-16 11:42","2024-05-16 11:44","82530","1715831042313","engWord_1192641_9_1715831042313","2","1","pink","0","1"
"312031","11803","9","2024-05-16 11:42","2024-05-16 11:44","82530","1715831042313","engWord_1192641_9_1715831042313","3","0","frog","1","0"
"312031","11804","9","2024-05-16 11:42","2024-05-16 11:44","82530","1715831042313","engWord_1192641_9_1715831042313","4","0","puppy","1","0"
"312031","11805","9","2024-05-16 11:42","2024-05-16 11:44","82530","1715831042313","engWord_1192641_9_1715831042313","5","0","gray","1","0"
"312031","11806","9","2024-05-16 11:42","2024-05-16 11:44","82530","1715831042313","engWord_1192641_9_1715831042313","6","0","duck","1","0"
"312031","11807","9","2024-05-16 11:42","2024-05-16 11:44","82530","1715831042313","engWord_1192641_9_1715831042313","7","0","brown","1","0"
"312031","11808","9","2024-05-16 11:42","2024-05-16 11:44","82530","1715831042313","engWord_1192641_9_1715831042313","8","0","yellow","1","0"
"312031","11809","9","2024-05-16 11:42","2024-05-16 11:44","82530","1715831042313","engWord_1192641_9_1715831042313","9","0","white","1","0"
